name,yahoo,sector
Vaibhav Global,VAIBHAVGBL.NS,Consumer Durables
Varroc Engineering,VARROC.NS,Automobile and Auto Components
Vedant Fashions,MANYAVAR.NS,Consumer Services
Vikram Solar,VIKRAMSOLR.NS,Capital Goods
Viyash Scientific,VIYASH.NS,Healthcare
Voltamp Transformers,VOLTAMP.NS,Capital Goods
Waaree Renewable Technologies,WAAREERTL.NS,Capital Goods
Wakefit Innovations,WAKEFIT.NS,Consumer Durables
WeWork India Management,WEWORK.NS,Services
Websol Energy System,WEBELSOLAR.NS,Capital Goods
Welspun Enterprises,WELENT.NS,Construction
Westlife Foodworld,WESTLIFE.NS,Consumer Services
Yatharth Hospital & Trauma Care Services,YATHARTH.NS,Healthcare
Zaggle Prepaid Ocean Services,ZAGGLE.NS,Information Technology
