name,yahoo,sector,universe
Refex Industries,REFEX.NS,Utilities,microcap250
Relaxo Footwears,RELAXO.NS,Consumer Durables,microcap250
Religare Enterprises,RELIGARE.NS,Financial Services,microcap250
Restaurant Brands Asia,RBA.NS,Consumer Services,microcap250
Route Mobile,ROUTE.NS,Telecommunication,microcap250
Rubicon Research,RUBICON.NS,Healthcare,microcap250
SKF India (Industrial),SKFINDUS.NS,Capital Goods,microcap250
SKF India,SKFINDIA.NS,Automobile and Auto Components,microcap250
SKY GOLD AND DIAMONDS,SKYGOLD.NS,Consumer Durables,microcap250
SML Mahindra,SMLMAH.NS,Capital Goods,microcap250
SPR Auto Technologies,SHRIPISTON.NS,Automobile and Auto Components,microcap250
Saatvik Green Energy,SAATVIKGL.NS,Capital Goods,microcap250
Safari Industries (India),SAFARI.NS,Consumer Durables,microcap250
Samhi Hotels,SAMHI.NS,Consumer Services,microcap250
Sandur Manganese & Iron Ores,SANDUMA.NS,Metals & Mining,microcap250
Sanofi Consumer Healthcare India,SANOFICONR.NS,Healthcare,microcap250
Sansera Engineering,SANSERA.NS,Automobile and Auto Components,microcap250
Senco Gold,SENCO.NS,Consumer Durables,microcap250
Seshaasai Technologies,STYL.NS,Financial Services,microcap250
Shaily Engineering Plastics,SHAILY.NS,Consumer Durables,microcap250
Shakti Pumps (India),SHAKTIPUMP.NS,Capital Goods,microcap250
Sharda Cropchem,SHARDACROP.NS,Chemicals,microcap250
Share India Securities,SHAREINDIA.NS,Financial Services,microcap250
Sheela Foam,SFL.NS,Consumer Durables,microcap250
Shilpa Medicare,SHILPAMED.NS,Healthcare,microcap250
Shree Renuka Sugars,RENUKA.NS,Fast Moving Consumer Goods,microcap250
Skipper,SKIPPER.NS,Capital Goods,microcap250
Smartworks Coworking Spaces,SMARTWORKS.NS,Services,microcap250
South Indian Bank,SOUTHBANK.NS,Financial Services,microcap250
Sri Lotus Developers and Realty,LOTUSDEV.NS,Realty,microcap250
Star Cement,STARCEMENT.NS,Construction Materials,microcap250
Sterling and Wilson Renewable Energy,SWSOLAR.NS,Construction,microcap250
Strides Pharma Science,STAR.NS,Healthcare,microcap250
Styrenix Performance Materials,STYRENIX.NS,Chemicals,microcap250
Subros,SUBROS.NS,Capital Goods,microcap250
Sudarshan Chemical Industries,SUDARSCHEM.NS,Chemicals,microcap250
Sudeep Pharma,SUDEEPPHRM.NS,Chemicals,microcap250
Sun Pharma Advanced Research Company,SPARC.NS,Healthcare,microcap250
Sunteck Realty,SUNTECK.NS,Realty,microcap250
Supriya Lifescience,SUPRIYA.NS,Healthcare,microcap250
Surya Roshni,SURYAROSNI.NS,Capital Goods,microcap250
TARC,TARC.NS,Realty,microcap250
TD Power Systems,TDPOWERSYS.NS,Capital Goods,microcap250
TSF Investments,TSFINV.NS,Financial Services,microcap250
TVS Supply Chain Solutions,TVSSCS.NS,Services,microcap250
Tamilnad Mercantile Bank,TMB.NS,Financial Services,microcap250
Tanla Platforms,TANLA.NS,Information Technology,microcap250
Texmaco Rail & Eng.,TEXRAIL.NS,Capital Goods,microcap250
Thangamayil Jewellery,THANGAMAYL.NS,Consumer Durables,microcap250
The Anup Engineering,ANUP.NS,Capital Goods,microcap250
Thomas Cook (India),THOMASCOOK.NS,Consumer Services,microcap250
Thyrocare Technologies,THYROCARE.NS,Healthcare,microcap250
Tilaknagar Industries,TI.NS,Fast Moving Consumer Goods,microcap250
Time Technoplast,TIMETECHNO.NS,Capital Goods,microcap250
Tips Music,TIPSMUSIC.NS,Media Entertainment & Publication,microcap250
Transrail Lighting,TRANSRAILL.NS,Capital Goods,microcap250
Ujjivan Small Finance Bank,UJJIVANSFB.NS,Financial Services,microcap250
V-Guard Industries,VGUARD.NS,Consumer Durables,microcap250
V-Mart Retail,VMART.NS,Consumer Services,microcap250
V.I.P. Industries,VIPIND.NS,Consumer Durables,microcap250
V2 Retail,V2RETAIL.NS,Consumer Services,microcap250
Va Tech Wabag,WABAG.NS,Utilities,microcap250
Vaibhav Global,VAIBHAVGBL.NS,Consumer Durables,microcap250
Varroc Engineering,VARROC.NS,Automobile and Auto Components,microcap250
Vedant Fashions,MANYAVAR.NS,Consumer Services,microcap250
Vikram Solar,VIKRAMSOLR.NS,Capital Goods,microcap250
Viyash Scientific,VIYASH.NS,Healthcare,microcap250
Voltamp Transformers,VOLTAMP.NS,Capital Goods,microcap250
Waaree Renewable Technologies,WAAREERTL.NS,Capital Goods,microcap250
Wakefit Innovations,WAKEFIT.NS,Consumer Durables,microcap250
WeWork India Management,WEWORK.NS,Services,microcap250
Websol Energy System,WEBELSOLAR.NS,Capital Goods,microcap250
Welspun Enterprises,WELENT.NS,Construction,microcap250
Westlife Foodworld,WESTLIFE.NS,Consumer Services,microcap250
Yatharth Hospital & Trauma Care Services,YATHARTH.NS,Healthcare,microcap250
Zaggle Prepaid Ocean Services,ZAGGLE.NS,Information Technology,microcap250
360 ONE WAM,360ONE.NS,Financial Services,nifty500
3M India,3MINDIA.NS,Diversified,nifty500
ABB India,ABB.NS,Capital Goods,nifty500
ACC,ACC.NS,Construction Materials,nifty500
ACME Solar Holdings,ACMESOLAR.NS,Power,nifty500
AIA Engineering,AIAENG.NS,Capital Goods,nifty500
APL Apollo Tubes,APLAPOLLO.NS,Capital Goods,nifty500
AU Small Finance Bank,AUBANK.NS,Financial Services,nifty500
AWL Agri Business,AWL.NS,Fast Moving Consumer Goods,nifty500
Aadhar Housing Finance,AADHARHFC.NS,Financial Services,nifty500
Aarti Industries,AARTIIND.NS,Chemicals,nifty500
Aavas Financiers,AAVAS.NS,Financial Services,nifty500
Abbott India,ABBOTINDIA.NS,Healthcare,nifty500
Action Construction Equipment,ACE.NS,Capital Goods,nifty500
Acutaas Chemicals,ACUTAAS.NS,Healthcare,nifty500
Adani Energy Solutions,ADANIENSOL.NS,Power,nifty500
Adani Enterprises,ADANIENT.NS,Metals & Mining,nifty500
Adani Green Energy,ADANIGREEN.NS,Power,nifty500
Adani Ports and Special Economic Zone,ADANIPORTS.NS,Services,nifty500
Adani Power,ADANIPOWER.NS,Power,nifty500
Adani Total Gas,ATGL.NS,Oil Gas & Consumable Fuels,nifty500
Aditya Birla Capital,ABCAPITAL.NS,Financial Services,nifty500
Aditya Birla Fashion and Retail,ABFRL.NS,Consumer Services,nifty500
Aditya Birla Lifestyle Brands,ABLBL.NS,Consumer Services,nifty500
Aditya Birla Real Estate,ABREL.NS,Realty,nifty500
Aditya Birla Sun Life AMC,ABSLAMC.NS,Financial Services,nifty500
Aditya Infotech,CPPLUS.NS,Capital Goods,nifty500
Aegis Logistics,AEGISLOG.NS,Oil Gas & Consumable Fuels,nifty500
Aegis Vopak Terminals,AEGISVOPAK.NS,Oil Gas & Consumable Fuels,nifty500
Afcons Infrastructure,AFCONS.NS,Construction,nifty500
Affle 3i,AFFLE.NS,Information Technology,nifty500
Ajanta Pharmaceuticals,AJANTPHARM.NS,Healthcare,nifty500
Alkem Laboratories,ALKEM.NS,Healthcare,nifty500
Allied Blenders and Distillers,ABDL.NS,Fast Moving Consumer Goods,nifty500
Amara Raja Energy & Mobility,ARE&M.NS,Automobile and Auto Components,nifty500
Amber Enterprises India,AMBER.NS,Consumer Durables,nifty500
Ambuja Cements,AMBUJACEM.NS,Construction Materials,nifty500
Anand Rathi Wealth,ANANDRATHI.NS,Financial Services,nifty500
Anant Raj,ANANTRAJ.NS,Realty,nifty500
Angel One,ANGELONE.NS,Financial Services,nifty500
Anthem Biosciences,ANTHEM.NS,Healthcare,nifty500
Anupam Rasayan India,ANURAS.NS,Chemicals,nifty500
Apar Industries,APARINDS.NS,Capital Goods,nifty500
Apollo Hospitals Enterprise,APOLLOHOSP.NS,Healthcare,nifty500
Apollo Tyres,APOLLOTYRE.NS,Automobile and Auto Components,nifty500
Aptus Value Housing Finance India,APTUS.NS,Financial Services,nifty500
Asahi India Glass,ASAHIINDIA.NS,Automobile and Auto Components,nifty500
Ashok Leyland,ASHOKLEY.NS,Capital Goods,nifty500
Asian Paints,ASIANPAINT.NS,Consumer Durables,nifty500
Aster DM Quality Care,ASTERDM.NS,Healthcare,nifty500
Astral,ASTRAL.NS,Capital Goods,nifty500
Ather Energy,ATHERENERG.NS,Automobile and Auto Components,nifty500
Atul,ATUL.NS,Chemicals,nifty500
Aurobindo Pharma,AUROPHARMA.NS,Healthcare,nifty500
Authum Investment & Infrastructure,AIIL.NS,Financial Services,nifty500
Avenue Supermarts,DMART.NS,Consumer Services,nifty500
Axis Bank,AXISBANK.NS,Financial Services,nifty500
BEML,BEML.NS,Capital Goods,nifty500
BLS International Services,BLS.NS,Consumer Services,nifty500
BSE,BSE.NS,Financial Services,nifty500
Bajaj Auto,BAJAJ-AUTO.NS,Automobile and Auto Components,nifty500
Bajaj Finance,BAJFINANCE.NS,Financial Services,nifty500
Bajaj Finserv,BAJAJFINSV.NS,Financial Services,nifty500
Bajaj Holdings & Investment,BAJAJHLDNG.NS,Financial Services,nifty500
Bajaj Housing Finance,BAJAJHFL.NS,Financial Services,nifty500
Balkrishna Industries,BALKRISIND.NS,Automobile and Auto Components,nifty500
Balrampur Chini Mills,BALRAMCHIN.NS,Fast Moving Consumer Goods,nifty500
Bandhan Bank,BANDHANBNK.NS,Financial Services,nifty500
Bank of Baroda,BANKBARODA.NS,Financial Services,nifty500
Bank of India,BANKINDIA.NS,Financial Services,nifty500
Bank of Maharashtra,MAHABANK.NS,Financial Services,nifty500
Bata India,BATAINDIA.NS,Consumer Durables,nifty500
Bayer Cropscience,BAYERCROP.NS,Chemicals,nifty500
Belrise Industries,BELRISE.NS,Automobile and Auto Components,nifty500
Berger Paints India,BERGEPAINT.NS,Consumer Durables,nifty500
Bharat Dynamics,BDL.NS,Capital Goods,nifty500
Bharat Electronics,BEL.NS,Capital Goods,nifty500
Bharat Forge,BHARATFORG.NS,Automobile and Auto Components,nifty500
Bharat Heavy Electricals,BHEL.NS,Capital Goods,nifty500
Bharat Petroleum Corporation,BPCL.NS,Oil Gas & Consumable Fuels,nifty500
Bharti Airtel,BHARTIARTL.NS,Telecommunication,nifty500
Bharti Hexacom,BHARTIHEXA.NS,Telecommunication,nifty500
